station_name;station_no;ts_id;ts_name;parametertype_name;stationparameter_name;from;to
Gauge - Summit Lake;MVCA27;55333042;102.Edited;River Discharge;Q;2019-07-20 09:00:00;2024-01-11 07:00:00
Gauge - Mississippi River at High Falls;MVCA26;55334042;101.Original;River Discharge;Q;1950-10-01 00:00:00;2023-05-23 13:23:58
Gauge - Mississippi River at High Falls;MVCA26;55335042;102.Edited;River Discharge;Q;1950-10-01 00:00:00;2023-05-23 13:23:58
Gauge - Pine Lake;MVCA24;55336042;101.Original;River Discharge;Q;2020-11-06 13:00:00;2024-01-09 11:59:59
Gauge - Pine Lake;MVCA24;55337042;102.Edited;River Discharge;Q;2020-11-06 13:00:00;2024-01-09 11:59:59
Gauge - Malcolm Lake;MVCA23;55338042;101.Original;River Discharge;Q;2010-04-05 00:00:00;2024-01-11 06:00:00
Gauge - Malcolm Lake;MVCA23;55339042;102.Edited;River Discharge;Q;2010-04-05 00:00:00;2024-01-11 06:00:00
Gauge - Crotch Lake GOES;MVCA20;55340042;101.Original;River Discharge;Q;1998-06-23 00:00:00;2024-01-11 07:59:59
Gauge - Crotch Lake GOES;MVCA20;55341042;102.Edited;River Discharge;Q;1998-06-23 00:00:00;2024-01-11 07:59:59
Gauge - Kashwakamak Lake;MVCA3;55342042;101.Original;River Discharge;Q;1993-12-13 00:00:00;2024-01-11 06:00:00
Gauge - Kashwakamak Lake;MVCA3;55343042;102.Edited;River Discharge;Q;1993-12-13 00:00:00;2024-01-11 06:00:00
Gauge - Mazinaw Lake;MVCA2;55344042;101.Original;River Discharge;Q;1994-04-28 00:00:00;2024-01-09 12:00:00
Gauge - Mazinaw Lake;MVCA2;55345042;102.Edited;River Discharge;Q;1994-04-28 00:00:00;2024-01-09 12:00:00
Gauge - Widow Lake;MVCA17;55348042;101.Original;River Discharge;Q;2017-09-15 11:00:00;2024-01-11 06:00:00
Gauge - Widow Lake;MVCA17;55349042;102.Edited;River Discharge;Q;2017-09-15 11:00:00;2024-01-11 06:00:00
Gauge - Mississagagon Lake;MVCA14;55350042;101.Original;River Discharge;Q;2013-02-18 00:00:00;2024-01-11 06:00:00
Gauge - Mississagagon Lake;MVCA14;55351042;102.Edited;River Discharge;Q;2013-02-18 00:00:00;2024-01-11 06:00:00
Gauge - Canonto Lake;MVCA13;55352042;101.Original;River Discharge;Q;2016-11-16 00:00:00;2024-01-10 12:00:00
Gauge - Canonto Lake;MVCA13;55353042;102.Edited;River Discharge;Q;2016-11-16 00:00:00;2024-01-10 12:00:00
Gauge - Shabomeka Lake;MVCA1;55354042;101.Original;River Discharge;Q;1994-09-03 00:00:00;2024-01-10 12:00:00
Gauge - Shabomeka Lake;MVCA1;55355042;102.Edited;River Discharge;Q;1994-09-03 00:00:00;2024-01-10 12:00:00
Gauge - Kashwakamak Lake;MVCA3;55357042;195.Weir Flow;River Discharge;Q;1993-12-13 00:00:00;2024-01-11 06:00:00
Gauge - Crotch Lake GOES;MVCA20;55358042;195.Weir Flow;River Discharge;Q;1950-10-04 23:47:46;2024-01-11 07:59:59
Gauge - Canonto Lake;MVCA13;55359042;195.Weir Flow;River Discharge;Q;2016-11-16 00:00:00;2024-01-10 12:00:00
Gauge - Mazinaw Lake;MVCA2;55360042;195.Weir Flow;River Discharge;Q;1994-04-28 00:00:00;2024-01-09 12:00:00
Gauge - Malcolm Lake;MVCA23;55361042;195.Weir Flow;River Discharge;Q;2010-04-05 00:00:00;2024-01-11 06:00:00
Gauge - Summit Lake;MVCA27;55362042;195.Weir Flow;River Discharge;Q;2019-07-20 09:00:00;2024-01-11 07:00:00
Gauge - Mississagagon Lake;MVCA14;55363042;195.Weir Flow;River Discharge;Q;2013-02-18 00:00:00;2024-01-11 06:00:00
Gauge - Mosque Lake;MVCA30;55364042;195.Weir Flow;River Discharge;Q;2016-06-03 10:45:00;2023-06-08 10:25:06
Gauge - Mississippi River at Appleton;02KF006;56048042;ZZZ.WeeklyHistTest;River Discharge;Q;1918-01-01 00:00:00;2025-01-07 00:00:00
Gauge - Mississippi River at High Falls;MVCA26;56082042;ZZZ.Flow Test;River Discharge;Q;1993-01-01 00:00:00;2023-05-23 13:23:58
WQM - Mississippi River -  Kash Out;18343021002;58451042;01.Original;Dissolved Oxygen;Dissolved Oxygen;1970-10-13 18:10:00;1979-12-11 10:50:00
WQM - Mississippi River;18343006002;58461042;01.Original;Dissolved Oxygen;Dissolved Oxygen;1970-10-20 15:20:00;1982-09-08 10:00:00
WQM - Mississippi River;18343007002;58471042;01.Original;Dissolved Oxygen;Dissolved Oxygen;1970-10-20 15:05:00;1979-12-12 07:35:00
WQM - Mississippi River;18343010001;58481042;01.Original;Dissolved Oxygen;Dissolved Oxygen;1970-10-20 14:45:00;1979-12-12 07:25:00
WQM - Mississippi River - Almonte Bridge St.;18343005002;58491042;01.Original;Dissolved Oxygen;Dissolved Oxygen;1970-10-20 15:45:00;1979-12-12 08:00:00
WQM - Mississippi River - Almonte Main St.;18343004002;58501042;01.Original;Dissolved Oxygen;Dissolved Oxygen;;
WQM - Mississippi River - Dalhousie;18343017502;58513042;01.Original;Dissolved Oxygen;Dissolved Oxygen;1970-10-20 22:30:00;2019-11-26 13:48:00
WQM - Mississippi River - Crotch Out;18343019502;58523042;01.Original;Dissolved Oxygen;Dissolved Oxygen;1970-10-13 20:00:00;1975-12-09 09:40:00
WQM - Mississippi River - Galetta;18343003002;58539042;01.Original;Dissolved Oxygen;Dissolved Oxygen;1966-04-19 00:00:00;2019-11-25 12:03:00
WQM - Mississippi River - Innisville;18343015002;58549042;01.Original;Dissolved Oxygen;Dissolved Oxygen;1976-02-10 08:40:00;1979-12-11 07:25:00
WQM - Mississippi River - Mazinaw In;18343023402;58559042;01.Original;Dissolved Oxygen;Dissolved Oxygen;1970-10-13 16:30:00;1979-12-11 09:40:00
WQM - Mississippi River - Mazinaw Out;18343023002;58569042;01.Original;Dissolved Oxygen;Dissolved Oxygen;1970-10-13 16:00:00;2019-11-26 11:44:00
WQM - Mississippi River - Pakenham;18343003402;58579042;01.Original;Dissolved Oxygen;Dissolved Oxygen;1970-10-20 17:15:00;2019-11-25 10:05:00
WQM - Mississippi River - Road 509;18343018502;58589042;01.Original;Dissolved Oxygen;Dissolved Oxygen;1976-02-10 13:15:00;1979-12-11 11:45:00
WQM - Mississippi River - Upstream Pakenham;18343003602;58599042;01.Original;Dissolved Oxygen;Dissolved Oxygen;1970-10-20 17:00:00;1979-12-12 09:00:00
WQM - Ottawa River - ChatsFalls;18000017002;58609042;01.Original;Dissolved Oxygen;Dissolved Oxygen;1966-04-19 00:00:00;2019-11-25 12:31:00
